Title,,,,cities,categories,Question
PCR検査,,,,ロサンゼルス,医療,はじめまして。 LAXの空港から1時間以内で日本帰国のためのPCR検査できるところを探しています。できれば無料、難しければ平均的な($150くらい？)価格より安いところを希望しています。ご存知の方がいたら教えてください。
デトロイトからウィンザーの行き方を教えてください,,,,デトロイト,観光・レジャー,９月にデトロイトへの旅行を計画しています。２週間のうち３泊程度時間をとってトロントを訪れようと思っているのですが、ウィンザーからしか電車が出ておらず、デトロイトからウィンザーへも交通手段がなくて困っています。レンタカーを借りようと思っても現在24歳のため年齢が足りず車を借りることもできません。どなたか良い方法を知っていたら教えていただけると、本当に助かります。
ニューヨークでの生活費について,,,,ニューヨーク,生活,"ニューヨークにお住まいの方にお聞きしたいのですが、主人がコロナ禍よりニューヨークへ単身赴任しております。

家賃があがり引っ越すことになったと連絡があり、場所はHAREMですが、家賃が3800ドルで生活費は合わせて6000ドルと聞いて驚いています。

こちらの金額は妥当なのでしょうか？

私は日本で子供3人とパートしながら
慎ましく生活してますのであまりの格差に
信じられない思いでいます。

主人は商社勤務、家賃補助なしで40歳です。


-- 2022-06-06 追記 --

すいません
生活費は5000ドルでした"
クレジットスコアがない状態での賃貸契約,,,,ダラス,住居,"来年ダラス移住を考えており、賃貸に関してご質問です。

パートナーはアメリカ国籍を保持する日本在住の日本人、私は日本国籍を保持する日本人です。
今回の移住は赴任ではないないため、お互いに仕事はあるが会社から住居サポートなどはない状況です。

お互いに留学経験があり英語も問題ありませんが、アメリカに長期的に住んでいたことがないため
Credit Card Scoreがなく賃貸契約が行えるか心配しております。

友人にはダラスで日本人オーナーの家を借りればどうにかなるのではないか、
もしくは現地でCredit Card..."
サムライ寿司,,,,ニュージャージ,スポーツ,40代男性ジャパニーズアメリカンです。 運動不足の為、一緒に軽くスポーツできる相手（男性）をBergen County辺りで探しています。 日本語は完璧ではありませんが、普通の会話はできます。 英語を教えることもできます。
お友達募集,,,,ロサンゼルス/ポートランド/シアトル,生活,こんにちは　最近シアトルに引っ越してきて友達を探しています！30歳の男性です！アジア系アメリカ人です！よかったら連絡してください！^^
秋からポートランドへ移住予定です,,,,ポートランド,生活,秋からポートランドに仕事の関係で移住予定です。初めての海外生活でとても不安な気持ちです。ご連絡取れる方いましたら嬉しいです！
ボストンについて教えてください,,,,ボストン,生活,ボストンに家族（2歳、0歳）を連れて引っ越します。日本からの引っ越しに関して、必需品を教えて欲しいです。家電も必要？業者は頼むべき？色々教えてほしいです。
『質問』Waco Texas,,,,ダラス/ヒューストン,生活,Waco TXについて色々と教えて頂きたいです！ 住まい、学区、日本人コミュニティ、日本食材、などなど。 よろしくお願いします！
日本帰国　PCR検査,,,,フィラデルフィア,医療,どなたか、PA州内で日本帰国の際に対応するPCR検査を実施している病院や検査場所など知っている方いますか？どこもNY州ばかりで遠いです。。。。
"こんにちは。

オヘア空港に夜着陸の予定です。空港外へ...",,,,シカゴ,絵はがきを売ってる店,"こんにちは。

オヘア空港に夜着陸の予定です。空港外へ出る前に絵はがきを買いたいのですが、どのお店に売っていますか。

何時までならどこのお店にあると教えていただけると助かります。uspsの普通のハガキではなく、絵はがきを欲しいです。

よろしくお願い致します。"
日本の食品などをオンラインで注文する時に「こういうのが...,,,,ロサンゼルス,生活,日本の食品などをオンラインで注文する時に「こういうのが欲しい」という物は？
ゴミの分別,,,,サンフランシスコ,生活,最近引っ越してきたのですが、ゴミの分別に迷うことが多いです。 青、緑、黒の分別はおおまかに習ったのですが、例えばダイソンの掃除機の中の埃ゴミはどう捨てたら良いでしょうか？ 教えていただけると助かります！
一人の女性が住める１９００ドル以内で住める物件（ボストンカレッジ近郊）,,,,ボストン,住居,９月からボストンカレッジで働く予定で、一人で住める１５００から１９００ドルくらいの物件を探しています。 ボストンカレッジから徒歩１０分以内の場所を探しています。 ８月末で出ていく方や物件を知っている方、ぜひお教えください。 よろしくお願いします。
Walgreens陰性証明書,,,,シカゴ/ニューヨーク/フィラデルフィア/ダラス,交通・飛行機,質問失礼致します。シカゴオヘアからWalgreensのRapid NAATで日本帰国した方はいらっしゃいますか？つい先日から陰性証明書も簡易化され医師のサインなども正式に省略されました。検査の箇所もNAATと記載があるのでチェックインカウンターではWalgreensの検査証明書で何も問題は無いのかご経験者の方がいらしたら教えて頂きたく思います。ちなみに航空会社はアメリカンとJALのコードシェアとなります。宜しくお願いします。
地域で　オンライン塾、家庭教師、を探す時に、どんな媒体...,,,,フェニックス/アーバイン/ロサンゼルス/サンディエゴ/サンフランシスコ/サンノゼ/ワシントン/ホノルル/シカゴ/ボストン/デトロイト/ノバイ/ラスベガス/ニューヨーク/コロンバス/ポートランド/フィラデルフィア/ダラス/ヒューストン/シアトル,生活,"地域で　オンライン塾、家庭教師、を探す時に、どんな媒体を利用しますか？お住まいのエリアと共に教えて下さい。
びびなび
Light house 
など"
Bank of americaのオンラインバンキングauthorization codeについて,,,,港区,生活,"バンク・オブ・アメリカのオンラインバンキングを持っております。
これまではIDとパスワードを入力したら、普通にログインできていたのですが、突然以下の文章が出てきてログインできなくなりました。

To verify your identity, we need to provide you an authorization code.
Call 800.933.6262 to get the code

コールセンターに電話しろとのことだったので、つたない英語でなんとかauthorization..."
日本語の通訳をされる方を探しています。,,,,シアトル,生活,日本語の通訳をされる方を探しています。 日常生活上のお店への問い合わせや借りている車の延長依頼等です。 会議の通訳等ではありません。
自社製品を売りたい,,,,フェニックス/アーバイン/ロサンゼルス/サンディエゴ/サンフランシスコ/サンノゼ/ワシントン/アトランタ/ホノルル/シカゴ/ボストン/デトロイト/ノバイ/ラスベガス/ニューヨーク/コロンバス/ポートランド/フィラデルフィア/ダラス/ヒューストン/シアトル,建設,アメリカの建設会社で有名な会社を教えて下さい！
何方かレクチャーか手伝ってください。よろしくお願いします,,,,ロサンゼルス,仕事,"はじめまして。

現在、Thc-oや新しいカンナビノイドの取引先を探しているのですが
英語が出来ず、進めていないです。

何方か、良い方法を教えて頂きたいです。

相談にのってくださる方も募集します

よろしくお願いします"
