,Country,City,Title,Text
0,アメリカ,ロサンゼルス,PCR検査,はじめまして。 LAXの空港から1時間以内で日本帰国のためのPCR検査できるところを探しています。できれば無料、難しければ平均的な($150くらい？)価格より安いところを希望しています。ご存知の方がいたら教えてください。
1,アメリカ,デトロイト,デトロイトからウィンザーの行き方を教えてください,９月にデトロイトへの旅行を計画しています。２週間のうち３泊程度時間をとってトロントを訪れようと思っているのですが、ウィンザーからしか電車が出ておらず、デトロイトからウィンザーへも交通手段がなくて困っています。レンタカーを借りようと思っても現在24歳のため年齢が足りず車を借りることもできません。どなたか良い方法を知っていたら教えていただけると、本当に助かります。
2,アメリカ,ニューヨーク,ニューヨークでの生活費について,ニューヨークにお住まいの方にお聞きしたいのですが、主人がコロナ禍よりニューヨークへ単身赴任しております。家賃があがり引っ越すことになったと連絡があり、場所はHAREMですが、家賃が3800ドルで生活費は合わせて6000ドルと聞いて驚いています。こちらの金額は妥当なのでしょうか？私は日本で子供3人とパートしながら慎ましく生活してますのであまりの格差に信じられない思いでいます。主人は商社勤務、家賃補助なしで40歳です。-- 2022-06-06 追記 --すいません生活費は5000ドルでした
3,アメリカ,ダラス,クレジットスコアがない状態での賃貸契約,来年ダラス移住を考えており、賃貸に関してご質問です。パートナーはアメリカ国籍を保持する日本在住の日本人、私は日本国籍を保持する日本人です。今回の移住は赴任ではないないため、お互いに仕事はあるが会社から住居サポートなどはない状況です。お互いに留学経験があり英語も問題ありませんが、アメリカに長期的に住んでいたことがないためCredit Card Scoreがなく賃貸契約が行えるか心配しております。友人にはダラスで日本人オーナーの家を借りればどうにかなるのではないか、もしくは現地でCredit Card...
4,アメリカ,ニュージャージ,サムライ寿司,40代男性ジャパニーズアメリカンです。 運動不足の為、一緒に軽くスポーツできる相手（男性）をBergen County辺りで探しています。 日本語は完璧ではありませんが、普通の会話はできます。 英語を教えることもできます。
5,アメリカ,ロサンゼルス/ポートランド/シアトル,お友達募集,こんにちは　最近シアトルに引っ越してきて友達を探しています！30歳の男性です！アジア系アメリカ人です！よかったら連絡してください！^^
6,アメリカ,ポートランド,秋からポートランドへ移住予定です,秋からポートランドに仕事の関係で移住予定です。初めての海外生活でとても不安な気持ちです。ご連絡取れる方いましたら嬉しいです！
7,アメリカ,ボストン,ボストンについて教えてください,ボストンに家族（2歳、0歳）を連れて引っ越します。日本からの引っ越しに関して、必需品を教えて欲しいです。家電も必要？業者は頼むべき？色々教えてほしいです。
8,アメリカ,ダラス/ヒューストン,『質問』Waco Texas,Waco TXについて色々と教えて頂きたいです！ 住まい、学区、日本人コミュニティ、日本食材、などなど。 よろしくお願いします！
9,アメリカ,フィラデルフィア,日本帰国　PCR検査,どなたか、PA州内で日本帰国の際に対応するPCR検査を実施している病院や検査場所など知っている方いますか？どこもNY州ばかりで遠いです。。。。
10,アメリカ,シカゴ,こんにちは。オヘア空港に夜着陸の予定です。空港外へ...,こんにちは。オヘア空港に夜着陸の予定です。空港外へ出る前に絵はがきを買いたいのですが、どのお店に売っていますか。何時までならどこのお店にあると教えていただけると助かります。uspsの普通のハガキではなく、絵はがきを欲しいです。よろしくお願い致します。
11,アメリカ,ロサンゼルス,日本の食品などをオンラインで注文する時に「こういうのが...,日本の食品などをオンラインで注文する時に「こういうのが欲しい」という物は？
12,アメリカ,サンフランシスコ,ゴミの分別,最近引っ越してきたのですが、ゴミの分別に迷うことが多いです。 青、緑、黒の分別はおおまかに習ったのですが、例えばダイソンの掃除機の中の埃ゴミはどう捨てたら良いでしょうか？ 教えていただけると助かります！
13,アメリカ,ボストン,一人の女性が住める１９００ドル以内で住める物件（ボストンカレッジ近郊）,９月からボストンカレッジで働く予定で、一人で住める１５００から１９００ドルくらいの物件を探しています。 ボストンカレッジから徒歩１０分以内の場所を探しています。 ８月末で出ていく方や物件を知っている方、ぜひお教えください。 よろしくお願いします。
14,アメリカ,シカゴ/ニューヨーク/フィラデルフィア/ダラス,Walgreens陰性証明書,質問失礼致します。シカゴオヘアからWalgreensのRapid NAATで日本帰国した方はいらっしゃいますか？つい先日から陰性証明書も簡易化され医師のサインなども正式に省略されました。検査の箇所もNAATと記載があるのでチェックインカウンターではWalgreensの検査証明書で何も問題は無いのかご経験者の方がいらしたら教えて頂きたく思います。ちなみに航空会社はアメリカンとJALのコードシェアとなります。宜しくお願いします。
15,アメリカ,フェニックス/アーバイン/ロサンゼルス/サンディエゴ/サンフランシスコ/サンノゼ/ワシントン/ホノルル/シカゴ/ボストン/デトロイト/ノバイ/ラスベガス/ニューヨーク/コロンバス/ポートランド/フィラデルフィア/ダラス/ヒューストン/シアトル,地域で　オンライン塾、家庭教師、を探す時に、どんな媒体...,地域で　オンライン塾、家庭教師、を探す時に、どんな媒体を利用しますか？お住まいのエリアと共に教えて下さい。びびなびLight house など
16,アメリカ,港区,Bank of americaのオンラインバンキングauthorization codeについて,"バンク・オブ・アメリカのオンラインバンキングを持っております。これまではIDとパスワードを入力したら、普通にログインできていたのですが、突然以下の文章が出てきてログインできなくなりました。To verify your identity, we need to provide you an authorization code.Call 800.933.6262 to get the codeコールセンターに電話しろとのことだったので、つたない英語でなんとかauthorization..."
17,アメリカ,シアトル,日本語の通訳をされる方を探しています。,日本語の通訳をされる方を探しています。 日常生活上のお店への問い合わせや借りている車の延長依頼等です。 会議の通訳等ではありません。
18,アメリカ,フェニックス/アーバイン/ロサンゼルス/サンディエゴ/サンフランシスコ/サンノゼ/ワシントン/アトランタ/ホノルル/シカゴ/ボストン/デトロイト/ノバイ/ラスベガス/ニューヨーク/コロンバス/ポートランド/フィラデルフィア/ダラス/ヒューストン/シアトル,自社製品を売りたい,アメリカの建設会社で有名な会社を教えて下さい！
19,アメリカ,ロサンゼルス,何方かレクチャーか手伝ってください。よろしくお願いします,はじめまして。現在、Thc-oや新しいカンナビノイドの取引先を探しているのですが英語が出来ず、進めていないです。何方か、良い方法を教えて頂きたいです。相談にのってくださる方も募集しますよろしくお願いします
20,アメリカ,ダラス/ヒューストン,車を探しています。,みなさん初めまして。私は留学の為、今年3月からダラスへ渡米しました。アメリカでは車が無いと生活が出来ないため、日系のディーラーを探しております。ガリバーさんを見つけたので、現在コンタクトをしております。お忙しいのかご返信が遅く、他も探そうと思っておりましたら、Japan Auto Servicesを見つけました。知人がそこから車の購入を4年前に行っており、トラブル等も多かったらしく、Japan Auto Serviceはやめた方がいいと忠告を受けたのですが、もし誰かJapan Auto Servicesさんからご購入された方がいれば教えてくれると大変助かります！...
21,アメリカ,ボストン/フィラデルフィア,お部屋に空きがある方ご連絡ください,今月末にフィラデルフィアの学会（6月25日-6月30日）に日本から参加する予定があり、その後6月30日-7月5日の間、休暇でボストンに滞在します。この期間にお部屋に空きがある方、泊めていただける方がいらっしゃれば、料金等の情報とともにご連絡いただければ幸いです。ルームシェアのような形でも一人部屋でも結構です。観光や食事等をご一緒していただける方からのご連絡も大歓迎です。当方、日本の研究所で研究職をしている31歳の男性です。よろしくお願いします。
22,アメリカ,フェニックス/アーバイン/ロサンゼルス/サンディエゴ/サンフランシスコ/サンノゼ/ワシントン/アトランタ/ホノルル/シカゴ/ボストン/デトロイト/ノバイ/ラスベガス/ニューヨーク/コロンバス/ポートランド/フィラデルフィア/ダラス/ヒューストン/シアトル,アメリカでの謙遜,在米24年、アメリカ人の夫と結婚して17年になりますが、日本人との付き合いが多いせいか、アメリカ人の前でも謙遜してしまいます。アメリカ人に謙遜は通じないのは分かっていますが。 自分が褒められた時だけではなく、夫が家族や友達の前で褒められた時、”Thank you.”とは言いますが、謙遜して少し否定的なことを言ってしまったり、ついつい「でもね、こんなことするんだよ。」と、ちょっとした失敗談などを話したりするので、先日「お前はいつも俺を貶めることを言いやがって！」と、ブチ切れて、ぶん殴りそうな勢いで怒鳴りました。 でも、日本人なので、家族についても謙遜してしまうんです。...
23,アメリカ,フェニックス/アーバイン/ロサンゼルス/サンディエゴ/サンフランシスコ/サンノゼ/ワシントン/アトランタ/ホノルル/シカゴ/ボストン/デトロイト/ノバイ/ラスベガス/ニューヨーク/コロンバス/ポートランド/フィラデルフィア/ダラス/ヒューストン/シアトル,語学学校に支払う授業料について,語学学校に留学をするのですが、なぜか授業料の支払いをアメリカに到着後、現地スタッフに到着した旨の連絡をし、その後クレジットカード決済になる、と言われました。なぜアメリカに入国する前（日本にいる間）に支払えないのか分からないのですが、アメリカに到着するまで授業料が支払えない語学学校は一般的なのでしょうか？また、アメリカに到着するのが授業開始の前日の日曜日で、日曜日に学校のスタッフと連絡が取れるかも不明です。受講したい日から授業が受けられなくなる可能性があり、その点を心配しています。...
